,Drug,Treated,Repulls,Mortalities,Treatment Success(%),Case Fatality Rate(%),$/Hd/Rx,Treatment $,Month,Year,Risk,Season
13,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
14,Draxxin,28,0.0,3.0,100.00,10.71,0.0,0.0,August,2018,UltraHigh,Other
15,DraxxinAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
16,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
17,Excede,75,0.0,15.0,100.00,20.00,0.0,0.0,August,2018,UltraHigh,Other
18,ExcedeAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
19,ExcedeAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
20,Excenel,10,0.0,2.0,100.00,20.00,0.0,0.0,August,2018,UltraHigh,Other
21,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
22,LA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
23,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
24,MassRxDraxxin,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
25,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
26,MassRxExcede,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
27,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
28,MassRxMicotil,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
29,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
30,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
31,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
32,MassRxZactran,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
33,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
0,MassRxZuprevo,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
1,Micotil,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
2,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
3,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
4,Naxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
5,NaxcelAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
6,NaxcelAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
7,Nuflor,11,0.0,3.0,100.00,27.27,0.0,0.0,August,2018,UltraHigh,Other
8,NuflorAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
9,NuflorAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
10,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
11,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
12,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
13,Polyflex,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
14,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
15,ResflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
16,ResflorGoldAs2ndRx,7,0.0,3.0,100.00,42.86,0.0,0.0,August,2018,UltraHigh,Other
17,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
18,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
19,Zactran,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
20,Zuprevo,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,UltraHigh,Other
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
5,Advocin,70,21.0,16.0,70.00,22.86,51.69,3618.65,August,2018,Natural,Other
6,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
7,Baytril,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
8,BaytrilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
9,BaytrilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
10,Bio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
11,Bio-MyicnAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
12,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
13,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
14,Draxxin,839,144.0,32.0,82.84,3.81,39.9,33471.91,August,2018,Natural,Other
15,DraxxinAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
16,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
17,Excede,62,4.0,1.0,93.55,1.61,22.63,1403.06,August,2018,Natural,Other
18,ExcedeAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
19,ExcedeAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
20,Excenel,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
21,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
22,LA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
23,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
24,MassRxDraxxin,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
25,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
26,MassRxExcede,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
27,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
28,MassRxMicotil,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
29,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
30,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
31,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
32,MassRxZactran,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
33,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,August,2018,Natural,Other
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
5,Advocin,468,47.0,71.0,89.96,15.17,38.48,18008.64,September,2018,Low,Fall
6,AdvocinAs2ndRx,261,0.0,31.0,100.00,11.88,0.0,0.0,September,2018,Low,Fall
7,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
8,Baytril,11,5.0,0.0,54.55,0.00,17.76,195.41,September,2018,Low,Fall
9,BaytrilAs2ndRx,641,0.0,69.0,100.00,10.76,0.0,0.0,September,2018,Low,Fall
10,BaytrilAs3rdRx,212,0.0,38.0,100.00,17.92,0.0,0.0,September,2018,Low,Fall
11,Bio-Mycin,100,8.0,1.0,92.00,1.00,5.59,558.5,September,2018,Low,Fall
12,Bio-MyicnAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
13,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
14,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
15,Draxxin,7945,84.0,329.0,98.94,4.14,38.98,309735.82,September,2018,Low,Fall
16,DraxxinAs2ndRx,57,2.0,7.0,96.49,12.28,33.34,1900.1,September,2018,Low,Fall
17,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
18,Excede,8,1.0,0.0,87.50,0.00,21.69,173.52,September,2018,Low,Fall
19,ExcedeAs2ndRx,145,0.0,34.0,100.00,23.45,0.0,0.0,September,2018,Low,Fall
20,ExcedeAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
21,Excenel,2,0.0,0.0,100.00,0.00,0.0,0.0,September,2018,Low,Fall
22,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
23,LA-200,68,0.0,1.0,100.00,1.47,5.58,379.44,September,2018,Low,Fall
24,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
25,MassRxDraxxin,322,0.0,35.0,100.00,10.87,19.8,6375.6,September,2018,Low,Fall
26,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
27,MassRxExcede,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
28,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
29,MassRxMicotil,423,0.0,4.0,100.00,0.95,37.58,15896.34,September,2018,Low,Fall
30,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
31,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
32,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
0,MassRxZuprevo,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
1,Micotil,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
2,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
3,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
4,Naxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
5,NaxcelAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
6,NaxcelAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
7,Nuflor,342,151.0,60.0,55.85,17.54,39.67,13567.14,September,2018,Natural,Fall
8,NuflorAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
9,NuflorAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
10,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
11,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
12,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
13,Polyflex,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
14,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
15,ResflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
16,ResflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
17,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
18,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
19,Zactran,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
20,Zuprevo,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Natural,Fall
0,MassRxZactran,1151,0.0,0.0,100.00,0.00,0.0,0.0,September,2018,Low,Fall
1,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
2,MassRxZuprevo,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
3,Micotil,58,0.0,1.0,100.00,1.72,42.37,2457.46,September,2018,Low,Fall
4,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
5,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
6,Naxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
7,NaxcelAs2ndRx,36,0.0,14.0,100.00,38.89,0.0,0.0,September,2018,Low,Fall
8,NaxcelAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
9,Nuflor,573,183.0,58.0,68.06,10.12,41.92,24020.16,September,2018,Low,Fall
10,NuflorAs2ndRx,20,0.0,2.0,100.00,10.00,0.0,0.0,September,2018,Low,Fall
11,NuflorAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
12,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
13,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
14,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
15,Polyflex,13,0.0,1.0,100.00,7.69,3.83,49.79,September,2018,Low,Fall
16,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
17,ResflorGold,104,20.0,2.0,80.77,1.92,30.07,3127.28,September,2018,Low,Fall
18,ResflorGoldAs2ndRx,111,1.0,26.0,99.10,23.42,19.09,2118.99,September,2018,Low,Fall
19,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
20,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
21,Zactran,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Low,Fall
22,Zuprevo,7,1.0,0.0,85.71,0.00,32.15,225.05,September,2018,Low,Fall
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
5,Advocin,1092,64.0,197.0,94.14,18.04,41.0,44774.18,September,2018,Moderate,Fall
6,AdvocinAs2ndRx,28,0.0,8.0,100.00,28.57,25.03,700.84,September,2018,Moderate,Fall
7,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
8,Baytril,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
9,BaytrilAs2ndRx,44,0.0,4.0,100.00,9.09,0.0,0.0,September,2018,Moderate,Fall
10,BaytrilAs3rdRx,1289,0.0,93.0,100.00,7.21,0.0,0.0,September,2018,Moderate,Fall
11,Bio-Mycin,2712,402.0,74.0,85.18,2.73,4.06,11022.77,September,2018,Moderate,Fall
12,Bio-MyicnAs3rdRx,15,0.0,5.0,100.00,33.33,0.0,0.0,September,2018,Moderate,Fall
13,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
14,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
15,Draxxin,8862,574.0,519.0,93.52,5.86,35.53,314860.05,September,2018,Moderate,Fall
16,DraxxinAs2ndRx,412,178.0,31.0,56.80,7.52,29.58,12186.96,September,2018,Moderate,Fall
17,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
18,Excede,392,104.0,61.0,73.47,15.56,34.61,13568.1,September,2018,Moderate,Fall
19,ExcedeAs2ndRx,738,0.0,199.0,100.00,26.96,0.0,0.0,September,2018,Moderate,Fall
20,ExcedeAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
21,Excenel,24,0.0,5.0,100.00,20.83,0.0,0.0,September,2018,Moderate,Fall
22,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
23,LA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
24,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
25,MassRxDraxxin,3296,545.0,63.0,83.46,1.91,28.92,95312.08,September,2018,Moderate,Fall
26,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
27,MassRxExcede,654,15.0,21.0,97.71,3.21,25.77,16853.58,September,2018,Moderate,Fall
28,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
29,MassRxMicotil,2736,259.0,38.0,90.53,1.39,13.47,36853.92,September,2018,Moderate,Fall
30,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
31,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
32,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
33,MassRxZactran,4337,271.0,20.0,93.75,0.46,19.78,85785.86,September,2018,Moderate,Fall
0,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
1,MassRxZuprevo,4088,38.0,106.0,99.07,2.59,25.39,103807.94,September,2018,Moderate,Fall
2,Micotil,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
3,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
4,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
5,Naxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
6,NaxcelAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
7,NaxcelAs3rdRx,34,0.0,14.0,100.00,41.18,0.0,0.0,September,2018,Moderate,Fall
8,Nuflor,1489,305.0,163.0,79.52,10.95,33.26,49526.62,September,2018,Moderate,Fall
9,NuflorAs2ndRx,559,267.0,56.0,52.24,10.02,22.48,12566.32,September,2018,Moderate,Fall
10,NuflorAs3rdRx,544,0.0,202.0,100.00,37.13,0.0,0.0,September,2018,Moderate,Fall
11,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
12,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
13,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
14,Polyflex,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
15,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
16,ResflorGold,1731,560.0,152.0,67.65,8.78,28.66,49614.79,September,2018,Moderate,Fall
17,ResflorGoldAs2ndRx,741,117.0,109.0,84.21,14.71,25.69,19032.59,September,2018,Moderate,Fall
18,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
19,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,Moderate,Fall
20,Zactran,222,3.0,8.0,98.65,3.60,26.78,5945.16,September,2018,Moderate,Fall
21,Zuprevo,2349,1.0,223.0,99.96,9.49,22.93,53870.4,September,2018,Moderate,Fall
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
5,Advocin,902,159.0,98.0,82.37,10.86,41.74,37649.48,September,2018,High,Fall
6,AdvocinAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
7,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
8,Baytril,600,135.0,49.0,77.50,8.17,25.49,15294.0,September,2018,High,Fall
9,BaytrilAs2ndRx,222,54.0,24.0,75.68,10.81,25.43,5645.46,September,2018,High,Fall
10,BaytrilAs3rdRx,19,0.0,6.0,100.00,31.58,0.0,0.0,September,2018,High,Fall
11,Bio-Mycin,530,93.0,9.0,82.45,1.70,8.93,4732.9,September,2018,High,Fall
12,Bio-MyicnAs3rdRx,212,49.0,36.0,76.89,16.98,5.68,1204.16,September,2018,High,Fall
13,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
14,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
15,Draxxin,11424,1319.0,487.0,88.45,4.26,39.37,449712.1,September,2018,High,Fall
16,DraxxinAs2ndRx,7,1.0,1.0,85.71,14.29,30.85,215.95,September,2018,High,Fall
17,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
18,Excede,1128,97.0,62.0,91.40,5.50,24.74,27903.9,September,2018,High,Fall
19,ExcedeAs2ndRx,116,51.0,8.0,56.03,6.90,17.23,1998.68,September,2018,High,Fall
20,ExcedeAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
21,Excenel,239,32.0,40.0,86.61,16.74,29.55,7062.45,September,2018,High,Fall
22,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
23,LA-200,56,52.0,8.0,7.14,14.29,4.33,242.48,September,2018,High,Fall
24,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
25,MassRxDraxxin,579,112.0,28.0,80.66,4.84,26.96,15609.84,September,2018,High,Fall
26,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
27,MassRxExcede,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
28,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
29,MassRxMicotil,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
30,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
31,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
32,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
33,MassRxZactran,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
0,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
1,MassRxZuprevo,570,214.0,21.0,62.46,3.68,24.24,13816.8,September,2018,High,Fall
2,Micotil,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
3,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
4,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
5,Naxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
6,NaxcelAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
7,NaxcelAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
8,Nuflor,1816,411.0,292.0,77.37,16.08,31.13,56536.62,September,2018,High,Fall
9,NuflorAs2ndRx,8,4.0,1.0,50.00,12.50,23.57,188.56,September,2018,High,Fall
10,NuflorAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
11,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
12,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
13,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
14,Polyflex,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
15,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
16,ResflorGold,74,0.0,11.0,100.00,14.86,0.0,0.0,September,2018,High,Fall
17,ResflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
18,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
19,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
20,Zactran,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,High,Fall
21,Zuprevo,358,104.0,34.0,70.95,9.50,29.53,10571.74,September,2018,High,Fall
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
5,Advocin,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
6,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
7,Baytril,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
8,BaytrilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
9,BaytrilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
10,Bio-Mycin,5,0.0,0.0,100.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
11,Bio-MyicnAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
12,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
13,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
14,Draxxin,22,0.0,2.0,100.00,9.09,0.0,0.0,September,2018,UltraHigh,Fall
15,DraxxinAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
16,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,September,2018,UltraHigh,Fall
